,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7983917931298379,-1.77321072142432,-1.0869129981999792,-1.7872971901905386,-1.0
1,3.0,-1.0,-1.3528953466720492,-1.365378069106931,-0.8911263731419421,-1.3811129312042676,-2.0
2,2.0,-1.0,-1.7983917931298379,-1.77321072142432,-1.094064005576257,-1.7872971901905386,-3.0
3,2.0,-1.0,-1.3528953466720492,-1.365378069106931,-0.9007033273446334,-1.3811129312042676,-4.0
4,1.0,-1.0,-0.9462903974147819,-0.9408755345946563,-0.9485666343154697,-0.9456330997464509,-5.0
5,2.0,-1.0,-0.8066768700780762,-0.8081703941797996,-0.8020990818830528,-0.8183929081847215,-6.0
6,1.0,-1.0,-0.5910589782822,-0.3591963774791902,-0.5747799722417906,-0.5552752494512366,-7.0
7,1.0,1.0,-0.3472941447770738,0.6484769272248625,-0.3307394007384243,-0.44898945198925666,-6.0
