,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8028352004432044,-1.7671075385307589,-1.6124744185957607,-1.7872971901905386,-1.0
1,0.0,-1.0,-1.416840411406901,-1.411019402533308,-1.4127355924137028,-1.4125840882355973,-2.0
2,3.0,-1.0,-1.416840411406901,-1.411019402533308,-1.4127355924137028,-1.4229705171206033,-3.0
3,2.0,-1.0,-1.8028352004432044,-1.7671075385307589,-1.619048849032603,-1.7872971901905386,-4.0
4,1.0,-1.0,-1.416840411406901,-1.416708609045621,-1.4127355924137028,-1.4229705171206033,-5.0
5,3.0,-1.0,-1.0888222819606606,-1.0896144060707764,-1.0953733058752344,-1.1014004444335068,-6.0
6,3.0,-1.0,-1.3782824174157773,-1.3809199629833997,-1.379238741220764,-1.3861809972604993,-7.0
7,0.0,-1.0,-1.379071032882913,-1.3809199629833997,-1.379238741220764,-1.3861809972604993,-8.0
8,2.0,-1.0,-1.8028352004432044,-1.7671075385307589,-1.6255729808740003,-1.7872971901905386,-9.0
9,1.0,-1.0,-1.416840411406901,-1.4223409234928106,-1.4127355924137028,-1.4229705171206033,-10.0
10,0.0,-1.0,-1.1006486794727772,-1.0896144060707764,-1.0953733058752344,-1.1014004444335068,-11.0
11,2.0,-1.0,-1.416840411406901,-1.4223409234928106,-1.4084321386548104,-1.4229705171206033,-12.0
12,1.0,-1.0,-1.1099153165587203,-1.088055004191506,-1.1083977327596795,-1.1116189366494327,-13.0
13,1.0,-1.0,-0.873361315896844,-0.8220861184218757,-0.8665690483676056,-0.8734472627639406,-14.0
14,2.0,-1.0,-0.8173724933017763,-0.7915041040472781,-0.5812100613853348,-0.822520675546502,-15.0
15,1.0,1.0,-0.3565113877791606,0.7243607375438194,-0.33106997782150266,-0.46012572537952495,-14.0
