,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8028352004432044,-1.7765952247139272,-1.6599008756252434,-1.7947553945128483,-1.0
1,2.0,-1.0,-1.4648983978374095,-1.4716007313629822,-1.3352327615846111,-1.4670778332881829,-2.0
2,1.0,-1.0,-1.1264933139684328,-0.9631392484815166,-1.1147387623813512,-1.1116189366494327,-3.0
3,3.0,-1.0,-0.9060128137759337,-0.6916917373844743,-0.8735554394264181,-0.917567478214309,-4.0
4,2.0,-1.0,-1.123930705911272,-1.116824322700294,-1.108366695269199,-1.1240998724404077,-5.0
5,1.0,-1.0,-0.9060128137759337,-0.6988273704342266,-0.8735554394264181,-0.917567478214309,-6.0
6,2.0,-1.0,-0.8173724933017763,-0.7991121534861818,-0.4485153966169705,-0.8482069305131594,-7.0
7,1.0,1.0,-0.3651222726284922,0.8091664976576395,-0.32998852268722767,-0.4895872228941619,-6.0
