,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7614973545344814,-1.7639143667776132,-1.7023306620200769,-1.7640422292533944,-1.0
1,2.0,-1.0,-1.3224307970586606,-1.316655185545719,-1.2597501919343448,-1.3244236091084964,-2.0
2,0.0,-1.0,-0.878101502890168,-0.7217881295376793,-0.9082137355384686,-0.8954029121884126,-3.0
3,1.0,-1.0,-0.878101502890168,-0.7204548495459531,-0.9082137355384686,-0.8954029121884126,-4.0
4,1.0,-1.0,-0.7114634011430532,-0.6531504071022979,-0.7101696007511057,-0.7104650182193066,-5.0
5,2.0,-1.0,-0.7739001892877202,-0.753327514440825,-0.6549412483556758,-0.7767615179748595,-6.0
6,1.0,1.0,-0.3040714723418393,-0.21794654017794576,-0.30813923976591673,-0.30665083293896045,-5.0
