,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-0.9900720646799527,-0.9933259162121705,-0.995829287241883,-0.9902176344470986,-1.0
1,1.0,-1.0,-0.7071953885708453,-0.7106760026340867,-0.7043856124933524,-0.7068218036028958,-2.0
2,0.0,-1.0,-0.6118464649532445,-0.6165987354250718,-0.6159817848285306,-0.6199929683158438,-3.0
3,2.0,-1.0,-0.7071953885708453,-0.7106760026340867,-0.7126673261472108,-0.7068218036028958,-4.0
4,2.0,-1.0,-0.5973103622732043,-0.5928604957835414,-0.6001783512754735,-0.5999496011970122,-5.0
5,2.0,-1.0,-0.4862628089123709,-0.4895092017902276,-0.49458999252794,-0.4910815578379558,-6.0
6,0.0,-1.0,-0.4957765461034585,-0.4895092017902276,-0.49458999252794,-0.4910815578379558,-7.0
7,0.0,-1.0,-0.5052243634585359,-0.4895092017902276,-0.49458999252794,-0.4910815578379558,-8.0
8,1.0,-1.0,-0.5052243634585359,-0.49778095109995496,-0.49458999252794,-0.4910815578379558,-9.0
9,2.0,-1.0,-0.35681969554732235,-0.35372387707047254,-0.36151938736688777,-0.3535751193083198,-10.0
10,3.0,-1.0,-0.35681969554732235,-0.35372387707047254,-0.36151938736688777,-0.3640678317400782,-11.0
11,3.0,-1.0,-0.4564541193970669,-0.4490214163866352,-0.45478867867174877,-0.4586376169171505,-12.0
12,0.0,-1.0,-0.622089396536138,-0.6165987354250718,-0.6159817848285306,-0.6199929683158438,-13.0
13,3.0,-1.0,-0.7071953885708453,-0.7106760026340867,-0.7126673261472108,-0.7186642341489864,-14.0
14,0.0,-1.0,-0.9990819926152728,-0.9933259162121705,-0.995829287241883,-0.9902176344470986,-15.0
15,3.0,-1.0,-0.9990819926152728,-0.9933259162121705,-0.995829287241883,-0.9892274168126516,-16.0
16,3.0,-1.0,-0.9990819926152728,-0.9933259162121705,-0.995829287241883,-0.998238189395839,-17.0
17,1.0,-1.0,-0.9990819926152728,-0.9999136744894546,-0.995829287241883,-0.998238189395839,-18.0
18,2.0,-1.0,-0.7303830125277198,-0.726789708601069,-0.7328557543980919,-0.7369015419992776,-19.0
19,2.0,-1.0,-0.622089396536138,-0.6165987354250718,-0.623863159727725,-0.6199929683158438,-20.0
20,1.0,-1.0,-0.4564541193970669,-0.44741138921303636,-0.45478867867174877,-0.4586376169171505,-21.0
21,1.0,-1.0,-0.32186090157167185,-0.3266060574994958,-0.32444422148369767,-0.32002143838266806,-22.0
22,2.0,1.0,-0.1538072576679418,-0.1382342385684622,0.01359625729237698,-0.14722545137927281,-21.0
