,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.806006399679317,-1.798111637454975,-1.2189874569992998,-1.811298405050173,-1.0
1,2.0,-1.0,-1.3902131222349654,-1.3891576380277972,-1.357804920417696,-1.3861809972604993,-2.0
2,2.0,-1.0,-1.123930705911272,-1.116824322700294,-1.0724801957919423,-1.1240998724404077,-3.0
3,1.0,-1.0,-0.932327851459149,-0.46473895876073873,-0.8693134109169454,-0.917567478214309,-4.0
4,2.0,-1.0,-0.8455262876041822,-0.8094492749177582,-0.296683273495358,-0.8904536145838967,-5.0
5,1.0,1.0,-0.38132410220513446,0.8278150477267897,-0.325736350512956,-0.5039534790377107,-4.0
