,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.808692256897462,-1.8259012662195275,-0.7423270282862121,-1.8135722710737385,-1.0
1,2.0,-1.0,-1.488354387009035,-1.5087979905048468,-0.6096310915738631,-1.5292267172689078,-2.0
2,2.0,-1.0,-1.1620321220090022,-0.5284138453682607,-1.162087009515606,-1.1755403523236556,-3.0
3,1.0,-1.0,-0.8382456512404981,-0.784468744365601,-0.838673680297204,-0.8506091755604672,-4.0
4,1.0,-1.0,-0.6019956262841789,-0.013061016257869318,-0.6009001788974875,-0.5673811547982797,-5.0
5,1.0,1.0,-0.4150833739254305,0.8702873504988903,-0.32172485771568354,-0.5325373503463535,-4.0
