,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-0.5866487787571202,-0.5888178931525858,-0.5901796070060767,-0.5894637199849464,-1.0
1,0.0,-1.0,-0.4576480581851328,-0.45322634777991017,-0.45501924999244875,-0.4491865956662952,-2.0
2,0.0,-1.0,-0.596062129978363,-0.5888178931525858,-0.5901796070060767,-0.5894637199849464,-3.0
3,1.0,-1.0,-0.596062129978363,-0.5969723935820566,-0.5901796070060767,-0.5894637199849464,-4.0
4,3.0,-1.0,-0.4576480581851328,-0.45322634777991017,-0.45501924999244875,-0.4487374090706289,-5.0
5,3.0,-1.0,-0.4576480581851328,-0.45322634777991017,-0.45501924999244875,-0.4582886716615583,-6.0
6,2.0,-1.0,-0.4576480581851328,-0.45322634777991017,-0.46378504311464835,-0.4582886716615583,-7.0
7,3.0,-1.0,-0.36955077735032693,-0.3750475553295313,-0.37417051468185103,-0.37883745556366927,-8.0
8,3.0,-1.0,-0.4576480581851328,-0.45322634777991017,-0.46378504311464835,-0.4577848220749619,-9.0
9,1.0,-1.0,-0.4576480581851328,-0.4616893561035427,-0.46378504311464835,-0.4577848220749619,-10.0
10,3.0,-1.0,-0.3343971192233352,-0.3385216260887893,-0.33390123580074255,-0.3424751699589152,-11.0
11,0.0,-1.0,-0.33517198055476805,-0.3385216260887893,-0.33390123580074255,-0.3424751699589152,-12.0
12,0.0,-1.0,-0.468376751083146,-0.4616893561035427,-0.46378504311464835,-0.4577848220749619,-13.0
13,3.0,-1.0,-0.596062129978363,-0.5969723935820566,-0.5901796070060767,-0.5988742562649615,-14.0
14,2.0,-1.0,-0.596062129978363,-0.5969723935820566,-0.5981843062498569,-0.5988742562649615,-15.0
15,2.0,-1.0,-0.43676325168858204,-0.4374371295227924,-0.432827682742934,-0.4344803175712179,-16.0
16,3.0,-1.0,-0.352534886181889,-0.3541035057652425,-0.34652995829202293,-0.35634725339228956,-17.0
17,2.0,-1.0,-0.43676325168858204,-0.4374371295227924,-0.44161817554013283,-0.4344803175712179,-18.0
18,2.0,-1.0,-0.352534886181889,-0.3541035057652425,-0.3458890762416788,-0.35634725339228956,-19.0
19,2.0,-1.0,-0.31383267586125135,-0.3169591471338354,-0.3235103461159502,-0.3184265719578869,-20.0
20,0.0,-1.0,-0.3235188431853901,-0.3169591471338354,-0.3235103461159502,-0.3184265719578869,-21.0
21,1.0,-1.0,-0.3235188431853901,-0.32583189577365507,-0.3235103461159502,-0.3184265719578869,-22.0
22,2.0,-1.0,-0.23757144159668983,-0.22993688470214085,-0.22669975233854023,-0.22720371234950557,-23.0
23,2.0,-1.0,-0.23757144159668983,-0.22993688470214085,-0.2364730525862017,-0.22720371234950557,-24.0
24,3.0,-1.0,-0.23757144159668983,-0.22993688470214085,-0.2364730525862017,-0.2376299304258991,-25.0
25,0.0,-1.0,-0.30992107367392085,-0.30668934867705594,-0.3015631453633224,-0.30549525888190937,-26.0
26,2.0,-1.0,-0.352534886181889,-0.3541035057652425,-0.345296024626883,-0.35634725339228956,-27.0
27,3.0,-1.0,-0.3235188431853901,-0.32583189577365507,-0.3235103461159502,-0.32834997045994996,-28.0
28,2.0,-1.0,-0.352534886181889,-0.3541035057652425,-0.35475465749565777,-0.35634725339228956,-29.0
29,2.0,-1.0,-0.3235188431853901,-0.32583189577365507,-0.33318683576983427,-0.32834997045994996,-30.0
30,0.0,-1.0,-0.3331953243422047,-0.32583189577365507,-0.33318683576983427,-0.32834997045994996,-31.0
31,1.0,-1.0,-0.3331953243422047,-0.33464300877823777,-0.33318683576983427,-0.32834997045994996,-32.0
32,1.0,-1.0,-0.23757144159668983,-0.2382966387882447,-0.2364730525862017,-0.2376299304258991,-33.0
33,1.0,1.0,-0.10522703929019678,-0.06250352264377668,-0.10904564766722696,-0.10418224999820233,-32.0
