,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8028352004432044,-1.7671075385307589,-1.624915107617781,-1.7872971901905386,-1.0
1,2.0,-1.0,-1.4253092701035859,-1.4223409234928106,-1.4154913618236862,-1.4229705171206033,-2.0
2,1.0,-1.0,-1.1099153165587203,-1.0876602339609227,-1.1083977327596795,-1.1116189366494327,-3.0
3,1.0,-1.0,-0.873361315896844,-0.8160940991676103,-0.8665690483676056,-0.8845193197909381,-4.0
4,2.0,-1.0,-0.8173724933017763,-0.7915041040472781,-0.5742118004627281,-0.822520675546502,-5.0
5,1.0,1.0,-0.3565113877791606,0.7325474992780304,-0.33106997782150266,-0.46012572537952495,-4.0
