,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8028352004432044,-1.7765952247139272,-1.6415956497164452,-1.7947553945128483,-1.0
1,1.0,-1.0,-1.4648983978374095,-1.476860024306775,-1.3212307221918078,-1.4670778332881829,-2.0
2,2.0,-1.0,-1.123930705911272,-1.116824322700294,-1.1134931612996672,-1.1240998724404077,-3.0
3,1.0,-1.0,-0.9060128137759337,-0.6871067627425076,-0.8735554394264181,-0.917567478214309,-4.0
4,2.0,-1.0,-0.8173724933017763,-0.7991121534861818,-0.4419777134474438,-0.8568302218861162,-5.0
5,1.0,1.0,-0.3651222726284922,0.7972801190756028,-0.32998852268722767,-0.4895872228941619,-4.0
