,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8033823867865022,-1.8295549427086975,-0.6658778283050152,-1.8115275294599682,-1.0
1,2.0,-1.0,-1.489343890057143,-1.518587435567746,-0.5668847507890241,-1.5205979640366662,-2.0
2,1.0,-1.0,-1.1759463866222148,-0.4435421778993902,-1.1675263581197404,-1.1755403523236556,-3.0
3,1.0,-1.0,-0.970816546933955,-0.2747678416823688,-0.8916065119505915,-1.0113311361922648,-4.0
4,2.0,-1.0,-0.8674458087960727,-0.8310300370449029,-0.1993269524638809,-0.9591586540109436,-5.0
5,1.0,1.0,-0.4206968808878269,0.8574356081955894,-0.3195257904741632,-0.5455463575421692,-4.0
