,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.6634702920698943,-1.6610499595296353,-1.6569340657048206,-1.6602456690923852,-1.0
1,1.0,-1.0,-1.2706683870492057,-1.264216102369368,-1.26717084126594,-1.262024549541834,-2.0
2,2.0,-1.0,-0.8754453856915841,-0.8724167286598699,-0.8357323917042025,-0.8606719927887454,-3.0
3,2.0,-1.0,-0.736059441145601,-0.7182223065636482,-0.6707825680941963,-0.73293945281223,-4.0
4,1.0,-1.0,-0.6564239853205418,-0.6538590875586189,-0.6520798938717921,-0.6505877033037125,-5.0
5,2.0,1.0,-0.2761473105313784,-0.27202851306099557,-0.12562906101945376,-0.2883926950543623,-4.0
