,ACTION,REWARD,A0,A1,A2,A3,V
0,0.0,-1.0,-1.4056519059506296,-1.401181228009284,-1.4002106948900028,-1.3996347815161538,-1.0
1,3.0,-1.0,-1.4056519059506296,-1.401181228009284,-1.4002106948900028,-1.4082351467346377,-2.0
2,2.0,-1.0,-1.4056519059506296,-1.401181228009284,-1.4058664597768085,-1.4082351467346377,-3.0
3,0.0,-1.0,-1.0820237737633196,-1.0762818406812003,-1.075532379802647,-1.0742108041151182,-4.0
4,3.0,-1.0,-1.0820237737633196,-1.0762818406812003,-1.075532379802647,-1.0760793271260505,-5.0
5,1.0,-1.0,-1.4056519059506296,-1.407096346076547,-1.4058664597768085,-1.4082351467346377,-6.0
6,1.0,-1.0,-1.109291471678392,-1.1095356212466272,-1.107566414327584,-1.1070286913211496,-7.0
7,1.0,-1.0,-0.8520486938939287,-0.8492472934349119,-0.8493786937188106,-0.843222088816094,-8.0
8,2.0,-1.0,-0.6988664883289288,-0.6898936405468098,-0.69516308695676,-0.6908564191843289,-9.0
9,0.0,-1.0,-0.5317583694594306,-0.5222634671397177,-0.5231736798760044,-0.5302171679070661,-10.0
10,1.0,-1.0,-0.7133002587696368,-0.7028148559295896,-0.7090590644172984,-0.7121141760883071,-11.0
11,1.0,-1.0,-0.5317583694594306,-0.531741203672578,-0.5231736798760044,-0.5302171679070661,-12.0
12,1.0,-1.0,-0.5317583694594306,-0.5411323547547363,-0.5231736798760044,-0.5302171679070661,-13.0
13,2.0,-1.0,-0.5317583694594306,-0.5411323547547363,-0.5283547634032052,-0.5302171679070661,-14.0
14,2.0,1.0,-0.26368431343183907,-0.27202851306099557,-0.0354102358556923,-0.2764005958749637,-13.0
