,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7990561658936068,-1.8504531728792204,-0.6184039483828947,-1.8049133191868076,-1.0
1,2.0,-1.0,-1.489343890057143,-1.518587435567746,-0.5111044665648548,-1.522271158963362,-2.0
2,1.0,-1.0,-1.1835358379488423,-0.376976771791293,-1.1779448089385038,-1.1787498468947366,-3.0
3,1.0,-1.0,-0.9829026789626879,-0.2688264222597355,-0.8929236441861199,-1.0113311361922648,-4.0
4,2.0,-1.0,-0.8711684569401216,-0.8332702555762566,-0.17909482597291637,-0.9798078306290282,-5.0
5,1.0,1.0,-0.4309510756774198,0.8474600017500182,-0.31843405583563317,-0.5641245504808695,-4.0
