,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.792688279396108,-1.77321072142432,-1.1160037038542263,-1.7872971901905386,-1.0
1,2.0,-1.0,-1.3485345764713232,-1.3598860565023312,-0.8763696820492155,-1.3628217367139037,-2.0
2,1.0,-1.0,-0.9281557808206423,-0.9132975011129024,-0.9269355204527394,-0.9370702446978239,-3.0
3,2.0,-1.0,-0.7963665312031717,-0.791856805459928,-0.8008132768080732,-0.7950526190072965,-4.0
4,1.0,-1.0,-0.5910589782822,-0.3723078192177117,-0.5670644739699006,-0.5552752494512366,-5.0
5,1.0,1.0,-0.33731062091769193,0.6378878027185718,-0.3307394007384243,-0.4372803317627143,-4.0
