,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.792688279396108,-1.7685955704595335,-1.1462103832468202,-1.784892951880536,-1.0
1,1.0,-1.0,-1.3440583728863342,-1.35422559603137,-0.884426200297858,-1.3628217367139037,-2.0
2,2.0,-1.0,-1.062024665589153,-1.0673979425146067,-1.0225240479194388,-1.0782939205559967,-3.0
3,2.0,-1.0,-0.7659924397144416,-0.7683679851094073,-0.7700756150620747,-0.7950526190072965,-4.0
4,1.0,-1.0,-0.5910589782822,-0.4088626978851031,-0.5670644739699006,-0.5552752494512366,-5.0
5,3.0,-1.0,-0.33731062091769193,0.5942354691093417,-0.3307394007384243,-0.4372803317627143,-6.0
6,2.0,-1.0,-0.8078372880839468,-0.7874774495511332,-0.6905030702812309,-0.822520675546502,-7.0
7,1.0,1.0,-0.33731062091769193,0.5982931144182483,-0.3307394007384243,-0.4372803317627143,-6.0
