,ACTION,REWARD,A0,A1,A2,A3,V
0,0.0,-1.0,-1.1652836138048475,-1.1590789706525362,-1.1624806425853622,-1.1620784958239652,-1.0
1,1.0,-1.0,-1.1652836138048475,-1.1655726925345287,-1.1624806425853622,-1.1620784958239652,-2.0
2,1.0,-1.0,-0.9074937147872121,-0.905078466470692,-0.9046266890068122,-0.9062140017556348,-3.0
3,0.0,-1.0,-0.6541827309102152,-0.6433518050568707,-0.6475443042066773,-0.6439941011942882,-4.0
4,2.0,-1.0,-0.9074937147872121,-0.905078466470692,-0.9122934005211384,-0.9062140017556348,-5.0
5,2.0,-1.0,-0.7549207186687008,-0.748867481578979,-0.7534723458927962,-0.7566697785180894,-6.0
6,3.0,-1.0,-0.5681533681498606,-0.5664588148364474,-0.5609719578366407,-0.5716591623710072,-7.0
7,1.0,-1.0,-0.7549207186687008,-0.7462631341630612,-0.7534723458927962,-0.7566697785180894,-8.0
8,1.0,-1.0,-0.5444222829886689,-0.5507074484385378,-0.5440754176479898,-0.5547263483390188,-9.0
9,1.0,-1.0,-0.3870639345964203,-0.38088922424051985,-0.38903015797622365,-0.3873997251388959,-10.0
10,1.0,-1.0,-0.3870639345964203,-0.39050833501627935,-0.38903015797622365,-0.3873997251388959,-11.0
11,0.0,-1.0,-0.388089974009288,-0.39050833501627935,-0.38903015797622365,-0.3873997251388959,-12.0
12,2.0,-1.0,-0.5444222829886689,-0.5507074484385378,-0.5522010355020689,-0.5547263483390188,-13.0
13,2.0,-1.0,-0.4155155059185732,-0.40381206375512474,-0.3933066700668099,-0.4007596868544547,-14.0
14,1.0,1.0,-0.1425478446681857,-0.12063213758568994,-0.13670625010807036,-0.14015722701430874,-13.0
