,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-0.9810531177977504,-0.9802221711990781,-0.9829689084587026,-0.981198833280379,-1.0
1,2.0,-1.0,-0.7071953885708453,-0.7037433899883511,-0.6977685967602585,-0.7068218036028958,-2.0
2,0.0,-1.0,-0.5973103622732043,-0.5846921891058671,-0.583278520825858,-0.5790213166921572,-3.0
3,3.0,-1.0,-0.5973103622732043,-0.5846921891058671,-0.583278520825858,-0.5895110208960779,-4.0
4,2.0,-1.0,-0.7071953885708453,-0.7037433899883511,-0.6960404174800886,-0.7068218036028958,-5.0
5,2.0,-1.0,-0.5973103622732043,-0.5846921891058671,-0.5917299754213269,-0.5895110208960779,-6.0
6,2.0,-1.0,-0.4767395484608317,-0.4811914804337466,-0.4755506182137493,-0.4806255839757606,-7.0
7,2.0,-1.0,-0.4767395484608317,-0.4811914804337466,-0.48507506759553554,-0.4806255839757606,-8.0
8,0.0,-1.0,-0.4862628089123709,-0.4811914804337466,-0.48507506759553554,-0.4806255839757606,-9.0
9,3.0,-1.0,-0.4862628089123709,-0.4811914804337466,-0.48507506759553554,-0.4910815578379558,-10.0
10,1.0,-1.0,-0.5973103622732043,-0.5928604957835414,-0.5917299754213269,-0.5895110208960779,-11.0
11,2.0,-1.0,-0.4564541193970669,-0.4490214163866352,-0.45478867867174877,-0.44659521900464694,-12.0
12,0.0,-1.0,-0.35681969554732235,-0.3477373512020545,-0.3518712586255133,-0.3535751193083198,-13.0
13,1.0,-1.0,-0.4862628089123709,-0.4895092017902276,-0.48507506759553554,-0.4910815578379558,-14.0
14,1.0,-1.0,-0.35681969554732235,-0.35372387707047254,-0.3518712586255133,-0.3535751193083198,-15.0
15,1.0,1.0,-0.11639885200259141,0.04897106815175695,-0.13670625010807036,-0.11574263912665703,-14.0
