,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.6634702920698943,-1.6562785229596313,-1.6523174453637162,-1.6602456690923852,-1.0
1,0.0,-1.0,-1.2353862120062933,-1.2403444482151864,-1.2377549771935108,-1.2371723576472662,-2.0
2,0.0,-1.0,-1.244150825794287,-1.2403444482151864,-1.2377549771935108,-1.2371723576472662,-3.0
3,3.0,-1.0,-1.244150825794287,-1.2403444482151864,-1.2377549771935108,-1.249671491079067,-4.0
4,2.0,-1.0,-1.6634702920698943,-1.6562785229596313,-1.6569340657048206,-1.6602456690923852,-5.0
5,2.0,-1.0,-1.244150825794287,-1.2403444482151864,-1.2324651060020095,-1.249671491079067,-6.0
6,1.0,-1.0,-0.8703084946710392,-0.7853837241401496,-0.8932391772441156,-0.8824692332605167,-7.0
7,1.0,-1.0,-0.6918052496936956,-0.6371356550054019,-0.7027736918388422,-0.6854493212187687,-8.0
8,2.0,-1.0,-0.6564239853205418,-0.6492090961471866,-0.6520798938717921,-0.6505877033037125,-9.0
9,1.0,1.0,-0.20868663089418396,-0.01323199142834218,-0.2083886789483336,-0.22793914558611145,-8.0
