,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.806006399679317,-1.802315433817206,-1.088954428499721,-1.8139468244801074,-1.0
1,2.0,-1.0,-1.49534597543949,-1.5010954523271147,-0.8599846734066856,-1.5145901967791884,-2.0
2,3.0,-1.0,-1.1511359559932686,-0.5942984660445524,-1.1508325258063834,-1.1466425776385518,-3.0
3,2.0,-1.0,-1.49534597543949,-1.5010954523271147,-0.8667335128670197,-1.5145901967791884,-4.0
4,1.0,-1.0,-1.1511359559932686,-0.5921828968428087,-1.1508325258063834,-1.1466425776385518,-5.0
5,2.0,-1.0,-0.939098081353159,-0.42526838430020547,-0.8717044304986986,-0.9279849268055831,-6.0
6,1.0,-1.0,-0.6019956262841789,-0.11154327242902089,-0.595854837823865,-0.5673811547982797,-7.0
7,2.0,-1.0,-0.3886753629807248,0.85707039694121,-0.32476535343535556,-0.5039534790377107,-8.0
8,1.0,1.0,-0.3886753629807248,0.858499692971798,-0.32476535343535556,-0.5039534790377107,-7.0
