,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.774331355536288,-1.7639143667776132,-1.4533572395101775,-1.7758020883625831,-1.0
1,2.0,-1.0,-1.3224307970586606,-1.329030066696247,-1.0305650045926336,-1.3466243423127893,-2.0
2,1.0,-1.0,-0.885763273152685,-0.7214056339395712,-0.9082137355384686,-0.9176422472617686,-3.0
3,3.0,-1.0,-0.7206378779348195,-0.6966329326420677,-0.7172812230296229,-0.7369770586862442,-4.0
4,2.0,-1.0,-1.062024665589153,-1.0608939700792492,-1.0404774918128894,-1.0666399729356568,-5.0
5,1.0,-1.0,-0.7206378779348195,-0.6966560899400661,-0.7172812230296229,-0.7369770586862442,-6.0
6,2.0,-1.0,-0.7908749977333706,-0.7785095426671956,-0.7768141372577617,-0.7952076203043836,-7.0
7,1.0,1.0,-0.3264039112294318,0.21323305711649457,-0.3272029469588048,-0.34771288359459473,-6.0
