,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7965647371289546,-1.8536783104743861,-0.6030278278337272,-1.8049133191868076,-1.0
1,2.0,-1.0,-1.489343890057143,-1.518587435567746,-0.5047397917351814,-1.522271158963362,-2.0
2,1.0,-1.0,-1.1835358379488423,-0.36625486475757235,-1.1829247657377817,-1.1787498468947366,-3.0
3,1.0,-1.0,-0.9829026789626879,-0.25435421404264946,-0.8930472081379851,-1.0113311361922648,-4.0
4,2.0,-1.0,-0.8711684569401216,-0.8332702555762566,-0.18946624085486372,-0.9798078306290282,-5.0
5,1.0,1.0,-0.4309510756774198,0.8156230401710315,-0.31843405583563317,-0.570136975009457,-4.0
