,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.806006399679317,-1.802315433817206,-1.1660051940179783,-1.8139468244801074,-1.0
1,2.0,-1.0,-1.3902131222349654,-1.3891576380277972,-1.349873692711348,-1.3861809972604993,-2.0
2,2.0,-1.0,-1.123930705911272,-1.116824322700294,-1.062698476391686,-1.1350791179997628,-3.0
3,1.0,-1.0,-0.939098081353159,-0.4466276833761703,-0.8693134109169454,-0.9279849268055831,-4.0
4,2.0,-1.0,-0.8455262876041822,-0.8126182611643296,-0.29118479143233317,-0.8985475085506575,-5.0
5,1.0,1.0,-0.38132410220513446,0.8353041428211988,-0.325736350512956,-0.5039534790377107,-4.0
