,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.8028352004432044,-1.7718481024413975,-1.7390484953733891,-1.7872971901905386,-1.0
1,2.0,-1.0,-1.4648983978374095,-1.4662480152172128,-1.4588345917974528,-1.4670778332881829,-2.0
2,1.0,-1.0,-1.1183957017398174,-1.045864102624308,-1.1147387623813512,-1.1116189366494327,-3.0
3,1.0,-1.0,-0.9060128137759337,-0.7554579513313655,-0.8665690483676056,-0.8955590736169756,-4.0
4,2.0,-1.0,-0.8173724933017763,-0.7915041040472781,-0.509949745709544,-0.8304569748442965,-5.0
5,1.0,1.0,-0.3565113877791606,0.7785925682214052,-0.3305418403684556,-0.47030298844123447,-4.0
