,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.70890414549322,-1.7006978827373886,-1.7255745195100978,-1.7392848577112399,-1.0
1,3.0,-1.0,-1.340219195387265,-1.3365625997677975,-1.340128833210078,-1.3470495317076683,-2.0
2,1.0,-1.0,-1.340219195387265,-1.3410130156938336,-1.340128833210078,-1.3470495317076683,-3.0
3,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8767914764427733,-0.9073914538333656,-4.0
4,3.0,-1.0,-0.7941248482349547,-0.781727936116004,-0.7881831789639275,-0.7908462550518899,-5.0
5,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8750591131033897,-0.9073914538333656,-6.0
6,1.0,-1.0,-0.7941248482349547,-0.7889922912706323,-0.7881831789639275,-0.7908462550518899,-7.0
7,0.0,-1.0,-0.5660734453473916,-0.5694805905464041,-0.5666578355615897,-0.5745250906042391,-8.0
8,2.0,-1.0,-0.7941248482349547,-0.7889922912706323,-0.7970325039006767,-0.7908462550518899,-9.0
9,1.0,-1.0,-0.7488685760665795,-0.753327514440825,-0.7503798341793122,-0.767312673347957,-10.0
10,2.0,1.0,-0.390355334689558,-0.38723187378286206,-0.31903019918995384,-0.4007377950987094,-9.0
