,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.808692256897462,-1.8295549427086975,-0.7368859978496257,-1.8135722710737385,-1.0
1,2.0,-1.0,-1.488354387009035,-1.5087979905048468,-0.6040931209817283,-1.5205979640366662,-2.0
2,1.0,-1.0,-1.1707773201854523,-0.49243454122939384,-1.162087009515606,-1.1755403523236556,-3.0
3,1.0,-1.0,-0.9670767981910326,-0.3078579781973599,-0.8871694703505528,-1.0031554467542758,-4.0
4,2.0,-1.0,-0.8595844026784177,-0.8310300370449029,-0.2066062962937531,-0.9447000679759834,-5.0
5,1.0,1.0,-0.4150833739254305,0.8674817906465303,-0.32064462083141376,-0.5325373503463535,-4.0
