,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.6922970472907541,-1.695693122509238,-1.7212068403667107,-1.7392848577112399,-1.0
1,1.0,-1.0,-1.340219195387265,-1.3321287466800256,-1.3342204040737877,-1.3384045134442002,-2.0
2,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8447851977464617,-0.9073914538333656,-3.0
3,2.0,-1.0,-0.7711735475128038,-0.7744318893286927,-0.7793453453425034,-0.7708971054446924,-4.0
4,3.0,-1.0,-0.7488685760665795,-0.7368096749832305,-0.7503798341793122,-0.767312673347957,-5.0
5,3.0,-1.0,-0.7711735475128038,-0.7744318893286927,-0.7793453453425034,-0.7707912011699636,-6.0
6,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8532744665795267,-0.9073914538333656,-7.0
7,3.0,-1.0,-0.7711735475128038,-0.7744318893286927,-0.7793453453425034,-0.7807627593574797,-8.0
8,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8616822838413466,-0.9073914538333656,-9.0
9,0.0,-1.0,-0.7827057105870496,-0.7744318893286927,-0.7793453453425034,-0.7807627593574797,-10.0
10,0.0,-1.0,-1.0383870944576172,-1.0273549726417281,-1.027848130780915,-1.0314304911065757,-11.0
11,3.0,-1.0,-1.2876951495822946,-1.288781458561935,-1.2879781271126165,-1.2866386163393486,-12.0
12,0.0,-1.0,-1.7006047502434634,-1.695693122509238,-1.7212068403667107,-1.7392848577112399,-13.0
13,1.0,-1.0,-1.7006047502434634,-1.7007253500042658,-1.7212068403667107,-1.7392848577112399,-14.0
14,1.0,-1.0,-1.340219195387265,-1.3365625997677975,-1.3342204040737877,-1.3384045134442002,-15.0
15,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.8600353480068914,-0.9073914538333656,-16.0
16,1.0,-1.0,-0.7827057105870496,-0.781727936116004,-0.7793453453425034,-0.7807627593574797,-17.0
17,1.0,-1.0,-0.5646260573098144,-0.5694805905464041,-0.5666578355615897,-0.5637019457138316,-18.0
18,3.0,-1.0,-0.5646260573098144,-0.5694805905464041,-0.5666578355615897,-0.5745250906042391,-19.0
19,1.0,-1.0,-0.7190360032022267,-0.7170782425775811,-0.7221367818063763,-0.7272287145846877,-20.0
20,1.0,-1.0,-0.7190360032022267,-0.7263611643350035,-0.7221367818063763,-0.7272287145846877,-21.0
21,0.0,-1.0,-0.7195859613022665,-0.7263611643350035,-0.7221367818063763,-0.7272287145846877,-22.0
22,2.0,-1.0,-0.9228727546414972,-0.907172700607966,-0.868449102634905,-0.9073914538333656,-23.0
23,0.0,-1.0,-0.7941248482349547,-0.781727936116004,-0.7793453453425034,-0.7807627593574797,-24.0
24,1.0,-1.0,-1.0383870944576172,-1.0340955310233935,-1.027848130780915,-1.0314304911065757,-25.0
25,2.0,-1.0,-0.7941248482349547,-0.781727936116004,-0.7881831789639275,-0.7807627593574797,-26.0
26,1.0,-1.0,-0.7488685760665795,-0.7424007400924845,-0.7503798341793122,-0.767312673347957,-27.0
27,2.0,1.0,-0.390355334689558,-0.38723187378286206,-0.32550780449949374,-0.4007377950987094,-26.0
