,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.4738907695096852,-1.4648571360220113,-1.4542291765864541,-1.4666792257329633,-1.0
1,2.0,-1.0,-1.124322571703441,-1.1225726929504731,-1.1236907096869835,-1.1237315858728285,-2.0
2,1.0,-1.0,-0.8703084946710392,-0.8225977814397883,-0.8779034046877734,-0.8824692332605167,-3.0
3,1.0,-1.0,-0.6814535209709756,-0.6412588342049853,-0.6893523206452308,-0.6854493212187687,-4.0
4,2.0,-1.0,-0.5716761254449912,-0.5750031987959712,-0.5555933502848467,-0.5798027859664688,-5.0
5,1.0,1.0,-0.20605615977710423,-0.04791727114072286,-0.19366273046311636,-0.20164350782375762,-4.0
