,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.4879940438821744,-1.4925230074641722,-1.4894017293419992,-1.5006867358897484,-1.0
1,1.0,-1.0,-1.1560957889879322,-1.1504247771024394,-1.1542521255540579,-1.1513263743282371,-2.0
2,2.0,-1.0,-0.8635603349415606,-0.8646870583549855,-0.8444081600441459,-0.8606719927887454,-3.0
3,2.0,-1.0,-0.7244786507569222,-0.7182223065636482,-0.7001278385016959,-0.7226614725724694,-4.0
4,1.0,-1.0,-0.5816690525071311,-0.591142566437623,-0.5814900643779669,-0.59033829174596,-5.0
5,2.0,1.0,-0.2761473105313784,-0.27202851306099557,-0.1090727138000024,-0.2764005958749637,-4.0
