,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7614973545344814,-1.7639143667776132,-1.6509032736895024,-1.7640422292533944,-1.0
1,2.0,-1.0,-1.3224307970586606,-1.322868882583638,-1.2256851346752753,-1.3361862958556776,-2.0
2,1.0,-1.0,-0.878101502890168,-0.7092275877253851,-0.9082137355384686,-0.8954029121884126,-3.0
3,1.0,-1.0,-0.7114634011430532,-0.668352696737228,-0.7101696007511057,-0.7104650182193066,-4.0
4,2.0,-1.0,-0.7739001892877202,-0.753327514440825,-0.6922132830827846,-0.7767615179748595,-5.0
5,1.0,1.0,-0.3153083812879447,-0.10148901925592486,-0.30813923976591673,-0.30665083293896045,-4.0
