,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7902106009987284,-1.7685955704595335,-1.2240266099767958,-1.784892951880536,-1.0
1,2.0,-1.0,-1.3394678790286068,-1.3485690347841814,-0.9263803461182739,-1.3557291689474258,-2.0
2,0.0,-1.0,-0.9082834726120514,-0.7066371434091548,-0.9155012064008354,-0.9370702446978239,-3.0
3,1.0,-1.0,-0.9082834726120514,-0.7060160973796311,-0.9155012064008354,-0.9370702446978239,-4.0
4,1.0,-1.0,-0.7298769154230841,-0.7156395470307058,-0.724208847649161,-0.7722310843317124,-5.0
5,2.0,-1.0,-0.8078372880839468,-0.7830730567268948,-0.7375329833051747,-0.8043600793982452,-6.0
6,1.0,1.0,-0.33731062091769193,0.49177742813556596,-0.3272029469588048,-0.4008488890586561,-5.0
