,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.4738907695096852,-1.470485233557643,-1.4674610568147342,-1.4666792257329633,-1.0
1,0.0,-1.0,-1.1420650508826058,-1.1368726544034673,-1.1359397846029367,-1.1356420629860848,-2.0
2,3.0,-1.0,-1.1420650508826058,-1.1368726544034673,-1.1359397846029367,-1.1374857553878206,-3.0
3,3.0,-1.0,-1.4738907695096852,-1.470485233557643,-1.4674610568147342,-1.4752125465072303,-4.0
4,2.0,-1.0,-1.4738907695096852,-1.470485233557643,-1.4730099043080132,-1.4752125465072303,-5.0
5,2.0,-1.0,-1.1420650508826058,-1.1368726544034673,-1.1419393471228196,-1.1374857553878206,-6.0
6,1.0,-1.0,-0.8703084946710392,-0.8252068123277722,-0.8779034046877734,-0.8824692332605167,-7.0
7,1.0,-1.0,-0.6814535209709756,-0.6344098129544109,-0.6893523206452308,-0.6854493212187687,-8.0
8,2.0,-1.0,-0.5716761254449912,-0.5750031987959712,-0.5689569145475486,-0.5798027859664688,-9.0
9,1.0,1.0,-0.20605615977710423,0.0034411020268121355,-0.19366273046311636,-0.20164350782375762,-8.0
