,ACTION,REWARD,A0,A1,A2,A3,V
0,3.0,-1.0,-0.936769562460371,-0.9367741322866401,-0.937501813117205,-0.9450332599096463,-1.0
1,0.0,-1.0,-0.9458327928979107,-0.9367741322866401,-0.937501813117205,-0.9450332599096463,-2.0
2,1.0,-1.0,-0.9458327928979107,-0.94354540888836,-0.937501813117205,-0.9450332599096463,-3.0
3,1.0,-1.0,-0.6957176047906902,-0.6896329099248817,-0.6891297202131224,-0.6905218186669113,-4.0
4,2.0,-1.0,-0.4938774340487483,-0.48973742263051484,-0.48137587223886924,-0.4848426403199438,-5.0
5,0.0,-1.0,-0.4411989660687006,-0.43209008814682365,-0.4346659859929737,-0.43321128489348676,-6.0
6,3.0,-1.0,-0.5810734184648167,-0.586667244582687,-0.5820744395724886,-0.5888056746424567,-7.0
7,2.0,-1.0,-0.6957176047906902,-0.6896329099248817,-0.6974680837771745,-0.6905218186669113,-8.0
8,0.0,-1.0,-0.5911920210483682,-0.586667244582687,-0.5820744395724886,-0.5888056746424567,-9.0
9,2.0,-1.0,-0.6620054393080744,-0.6612763834492654,-0.6570110034634351,-0.6680026551204273,-10.0
10,2.0,-1.0,-0.5319573292860531,-0.5368698288316065,-0.5402725356018656,-0.5358838404361776,-11.0
11,0.0,-1.0,-0.4481125321678513,-0.45589866046758687,-0.45695008808468923,-0.4492888910330781,-12.0
12,0.0,-1.0,-0.45766441963568344,-0.45589866046758687,-0.45695008808468923,-0.4492888910330781,-13.0
13,3.0,-1.0,-0.45766441963568344,-0.45589866046758687,-0.45695008808468923,-0.4595836180863218,-14.0
14,0.0,-1.0,-0.5414253719567671,-0.5368698288316065,-0.5402725356018656,-0.5358838404361776,-15.0
15,3.0,-1.0,-0.5414253719567671,-0.5368698288316065,-0.5402725356018656,-0.5464381010629867,-16.0
16,2.0,-1.0,-0.6620054393080744,-0.6612763834492654,-0.6652727218882852,-0.6680026551204273,-17.0
17,1.0,-1.0,-0.5414253719567671,-0.54522281800819,-0.5402725356018656,-0.5464381010629867,-18.0
18,3.0,-1.0,-0.4236630337998594,-0.41980441025031673,-0.41986645450380516,-0.4246242910951018,-19.0
19,2.0,-1.0,-0.5911920210483682,-0.586667244582687,-0.5800319348690166,-0.5888056746424567,-20.0
20,1.0,-1.0,-0.4236630337998594,-0.4282618570237799,-0.41986645450380516,-0.4246242910951018,-21.0
21,1.0,-1.0,-0.29566691572642484,-0.30111801487564266,-0.29942418973377555,-0.2982274468641912,-22.0
22,2.0,1.0,-0.1538072576679418,-0.1382342385684622,0.0984579628721493,-0.14722545137927281,-21.0
