,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.7614973545344814,-1.7639143667776132,-1.7421435050744045,-1.7640422292533944,-1.0
1,2.0,-1.0,-1.3224307970586606,-1.316655185545719,-1.303958895514279,-1.3244236091084964,-2.0
2,1.0,-1.0,-0.8703084946710392,-0.7299178443236498,-0.9082137355384686,-0.8954029121884126,-3.0
3,1.0,-1.0,-0.7114634011430532,-0.6589270799562538,-0.7101696007511057,-0.6980238827207761,-4.0
4,2.0,-1.0,-0.7739001892877202,-0.753327514440825,-0.6170850544321135,-0.7767615179748595,-5.0
5,0.0,-1.0,-0.3040714723418393,-0.2986739966257851,-0.2984376774433601,-0.29403744186774894,-6.0
6,0.0,-1.0,-0.5699657688600814,-0.47741937561532366,-0.5609222492796326,-0.5552752494512366,-7.0
7,1.0,-1.0,-0.7290756370369198,-0.7077342464168287,-0.7330310832005971,-0.7272872647893822,-8.0
8,1.0,-1.0,-0.5699657688600814,-0.47529151883598014,-0.5609222492796326,-0.5552752494512366,-9.0
9,3.0,-1.0,-0.3040714723418393,-0.2986739966257851,-0.2984376774433601,-0.30665083293896045,-10.0
10,2.0,-1.0,-0.7739001892877202,-0.753327514440825,-0.6236001429847826,-0.7767615179748595,-11.0
11,2.0,-1.0,-0.3040714723418393,-0.2986739966257851,-0.30813923976591673,-0.30665083293896045,-12.0
12,1.0,1.0,-0.3040714723418393,-0.2856872566595272,-0.30813923976591673,-0.30665083293896045,-11.0
