,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.7025948347252633,-1.616634646175586,-1.7038088747335072,-1.703451163710341,-1.0
1,1.0,-1.0,-1.330952805299453,-1.2165331625390643,-1.3102819224730666,-1.3172593865264688,-2.0
2,2.0,-1.0,-0.8880947476806783,-0.8800891987980246,-0.7815721700738156,-0.8691639302507229,-3.0
3,2.0,-1.0,-0.736059441145601,-0.7257609992830453,-0.6573827348276626,-0.7426175140122551,-4.0
4,2.0,-1.0,-0.6924324400245345,-0.6655354993149798,-0.6592641367211453,-0.6787980532241057,-5.0
5,1.0,1.0,-0.25777075970583196,-0.18294246155150312,-0.24313546910486222,-0.25343525745487877,-4.0
