,ACTION,REWARD,A0,A1,A2,A3,V
0,0.0,-1.0,-0.8190547603555673,-0.8178821481195744,-0.8161203408977835,-0.8182791510592488,-1.0
1,2.0,-1.0,-0.8190547603555673,-0.8178821481195744,-0.8130542953303107,-0.8182791510592488,-2.0
2,1.0,-1.0,-0.5687186618082649,-0.5750682137140573,-0.5699945602263585,-0.5941825868225157,-3.0
3,2.0,-1.0,-0.5204566504772118,-0.5174832046459402,-0.5194507816049272,-0.5158085745288455,-4.0
4,2.0,-1.0,-0.38184890405775923,-0.3782001100637718,-0.38180366496124596,-0.3810543633687906,-5.0
5,3.0,-1.0,-0.2805414737065702,-0.28220735295765276,-0.2847227988339273,-0.2902281822969837,-6.0
6,0.0,-1.0,-0.3921083216633805,-0.3782001100637718,-0.38180366496124596,-0.3810543633687906,-7.0
7,2.0,-1.0,-0.45732179352087265,-0.46072398536149395,-0.46215493691281484,-0.46175104735642564,-8.0
8,3.0,-1.0,-0.4006602921736489,-0.40220224141603167,-0.3999208298794481,-0.40848853754517056,-9.0
9,0.0,-1.0,-0.4668644717273518,-0.46072398536149395,-0.46215493691281484,-0.46175104735642564,-10.0
10,1.0,-1.0,-0.4668644717273518,-0.46952054649845293,-0.46215493691281484,-0.46175104735642564,-11.0
11,1.0,-1.0,-0.3921083216633805,-0.3866880973704895,-0.38180366496124596,-0.3810543633687906,-12.0
12,0.0,-1.0,-0.2631282140794146,-0.2569086864838241,-0.25720356195726657,-0.25460645275261556,-13.0
13,3.0,-1.0,-0.3921083216633805,-0.3866880973704895,-0.38180366496124596,-0.39188609690586235,-14.0
14,3.0,-1.0,-0.5204566504772118,-0.5174832046459402,-0.5194507816049272,-0.5263130146596461,-15.0
15,2.0,-1.0,-0.6369569422835649,-0.6311419241574386,-0.6375351952116035,-0.6351040320630451,-16.0
16,1.0,-1.0,-0.5204566504772118,-0.5257034974997108,-0.5194507816049272,-0.5263130146596461,-17.0
17,2.0,-1.0,-0.38467617943238164,-0.3829072266685808,-0.3857551971000743,-0.3825366690469217,-18.0
18,3.0,-1.0,-0.2631282140794146,-0.2569086864838241,-0.25720356195726657,-0.2655032182465117,-19.0
19,3.0,-1.0,-0.38467617943238164,-0.3829072266685808,-0.3857551971000743,-0.392764805324164,-20.0
20,2.0,-1.0,-0.4601617389179246,-0.45739045507698667,-0.4493314914882857,-0.45623998200224447,-21.0
21,1.0,-1.0,-0.38467617943238164,-0.38162533544392063,-0.3857551971000743,-0.392764805324164,-22.0
22,2.0,-1.0,-0.2868264539792623,-0.2851837032652506,-0.28963965774608513,-0.28975224594412735,-23.0
23,2.0,1.0,-0.1538072576679418,-0.1382342385684622,0.07052825644115045,-0.13600405383177722,-22.0
