,ACTION,REWARD,A0,A1,A2,A3,V
0,2.0,-1.0,-1.806006399679317,-1.798111637454975,-1.1825218714719063,-1.8139468244801074,-1.0
1,2.0,-1.0,-1.4923808837380874,-1.491910645437962,-0.9478174930966213,-1.5098397149721432,-2.0
2,1.0,-1.0,-1.1471205128457145,-0.6613477327670549,-1.1508325258063834,-1.1362510902853813,-3.0
3,1.0,-1.0,-0.939098081353159,-0.44750648383255726,-0.8693134109169454,-0.917567478214309,-4.0
4,1.0,-1.0,-0.8455262876041822,-0.8126182611643296,-0.29352652433159065,-0.8904536145838967,-5.0
5,2.0,1.0,-0.40324267286598736,-0.39570816453140456,-0.12898268953237849,-0.4007377950987094,-4.0
