,ACTION,REWARD,A0,A1,A2,A3,V
0,1.0,-1.0,-1.698415292228319,-1.4664493502063063,-1.7168923797441,-1.7323306650494952,-1.0
1,1.0,-1.0,-1.340219195387265,-1.1312876443059325,-1.3282826810208967,-1.3298296053206313,-2.0
2,2.0,-1.0,-0.8987359923109159,-0.887663107759513,-0.7217743898708006,-0.8924502195938245,-3.0
3,2.0,-1.0,-0.7478404456904264,-0.7331449975011053,-0.6652796534939743,-0.7521338239441772,-4.0
4,3.0,-1.0,-0.733925255909772,-0.7352476323149137,-0.7361476113349524,-0.7313596306460071,-5.0
5,2.0,-1.0,-0.7478404456904264,-0.7331449975011053,-0.6652090936348487,-0.7521338239441772,-6.0
6,3.0,-1.0,-0.733925255909772,-0.7352476323149137,-0.7361476113349524,-0.7400329161822606,-7.0
7,2.0,-1.0,-0.7478404456904264,-0.7331449975011053,-0.6651623300016881,-0.7521338239441772,-8.0
8,0.0,-1.0,-0.7422590665638648,-0.7352476323149137,-0.7361476113349524,-0.7400329161822606,-9.0
9,1.0,-1.0,-0.7018617360155617,-0.6306541821417853,-0.7101696007511057,-0.6854493212187687,-10.0
10,1.0,-1.0,-0.7422590665638648,-0.7396654783939209,-0.7361476113349524,-0.7400329161822606,-11.0
11,2.0,1.0,-0.32424670566904606,-0.3226546536636726,-0.20473546423719202,-0.3232252822612119,-10.0
