Episode,Length,Reward,IMG,LOG
1088,6,-4,frames/image1088.gif,frames/log1088.csv
1089,6,-4,frames/image1089.gif,frames/log1089.csv
1090,7,-5,frames/image1090.gif,frames/log1090.csv
1091,6,-4,frames/image1091.gif,frames/log1091.csv
1092,6,-4,frames/image1092.gif,frames/log1092.csv
1093,8,-6,frames/image1093.gif,frames/log1093.csv
1094,8,-6,frames/image1094.gif,frames/log1094.csv
1095,6,-4,frames/image1095.gif,frames/log1095.csv
1096,7,-5,frames/image1096.gif,frames/log1096.csv
1097,7,-5,frames/image1097.gif,frames/log1097.csv
1098,6,-4,frames/image1098.gif,frames/log1098.csv
1099,6,-4,frames/image1099.gif,frames/log1099.csv
1100,6,-4,frames/image1100.gif,frames/log1100.csv
1101,8,-6,frames/image1101.gif,frames/log1101.csv
1102,8,-6,frames/image1102.gif,frames/log1102.csv
1103,6,-4,frames/image1103.gif,frames/log1103.csv
1104,8,-6,frames/image1104.gif,frames/log1104.csv
1105,6,-4,frames/image1105.gif,frames/log1105.csv
1106,6,-4,frames/image1106.gif,frames/log1106.csv
1107,6,-4,frames/image1107.gif,frames/log1107.csv
1108,6,-4,frames/image1108.gif,frames/log1108.csv
1109,8,-6,frames/image1109.gif,frames/log1109.csv
1110,6,-4,frames/image1110.gif,frames/log1110.csv
1111,6,-4,frames/image1111.gif,frames/log1111.csv
1112,6,-4,frames/image1112.gif,frames/log1112.csv
1113,6,-4,frames/image1113.gif,frames/log1113.csv
1114,6,-4,frames/image1114.gif,frames/log1114.csv
1115,8,-6,frames/image1115.gif,frames/log1115.csv
1116,6,-4,frames/image1116.gif,frames/log1116.csv
1117,6,-4,frames/image1117.gif,frames/log1117.csv
1118,6,-4,frames/image1118.gif,frames/log1118.csv
1119,6,-4,frames/image1119.gif,frames/log1119.csv
1120,6,-4,frames/image1120.gif,frames/log1120.csv
1121,6,-4,frames/image1121.gif,frames/log1121.csv
1122,6,-4,frames/image1122.gif,frames/log1122.csv
1123,6,-4,frames/image1123.gif,frames/log1123.csv
1124,6,-4,frames/image1124.gif,frames/log1124.csv
1125,6,-4,frames/image1125.gif,frames/log1125.csv
1126,6,-4,frames/image1126.gif,frames/log1126.csv
1127,6,-4,frames/image1127.gif,frames/log1127.csv
1128,7,-5,frames/image1128.gif,frames/log1128.csv
1129,8,-6,frames/image1129.gif,frames/log1129.csv
1130,6,-4,frames/image1130.gif,frames/log1130.csv
1131,9,-7,frames/image1131.gif,frames/log1131.csv
1132,6,-4,frames/image1132.gif,frames/log1132.csv
1133,6,-4,frames/image1133.gif,frames/log1133.csv
1134,6,-4,frames/image1134.gif,frames/log1134.csv
1135,9,-7,frames/image1135.gif,frames/log1135.csv
1136,6,-4,frames/image1136.gif,frames/log1136.csv
1137,8,-6,frames/image1137.gif,frames/log1137.csv
1138,6,-4,frames/image1138.gif,frames/log1138.csv
1139,7,-5,frames/image1139.gif,frames/log1139.csv
1140,6,-4,frames/image1140.gif,frames/log1140.csv
1141,6,-4,frames/image1141.gif,frames/log1141.csv
1142,6,-4,frames/image1142.gif,frames/log1142.csv
1143,6,-4,frames/image1143.gif,frames/log1143.csv
1144,6,-4,frames/image1144.gif,frames/log1144.csv
1145,9,-7,frames/image1145.gif,frames/log1145.csv
1146,6,-4,frames/image1146.gif,frames/log1146.csv
1147,8,-6,frames/image1147.gif,frames/log1147.csv
