,0,1,2,3,4
"(0, 0)",-3.8610345195961697,-3.882441522012961,-3.585349003820928,-3.828320066708811,-3.8314591544218013
"(1, 0)",-2.545741727583495,-2.155558336698306,-2.501790743369214,-2.546435344601948,-2.5427328603495853
"(0, 1)",-2.425165281201756,-2.4204575495244023,-2.0824469305970648,-2.423499297073409,-2.456027999410207
"(1, 1)",-0.5263666173410387,-0.6015257597400422,-0.6408673782915681,-0.4164809186721737,-0.2561857184605026
